%15 times, 0.83
maxvalues: 0.8815914392471313, maxindices: 3, outputs: [0.00519879 0.01428829 0.88159144 0.00817698 0.00819946 0.06019
 0.02235505], MiddleTime: 9.46, subject:1
maxvalues: 0.9788728952407837, maxindices: 1, outputs: [0.9788729  0.01152399 0.00133659 0.00413141 0.00104961 0.0019447
 0.0011408 ], MiddleTime: 32.26, subject:1
maxvalues: 0.8369619250297546, maxindices: 3, outputs: [0.00650404 0.00273188 0.8369619  0.00483365 0.00196031 0.13961232
 0.00739592], MiddleTime: 47.26, subject:1
maxvalues: 0.9679223299026489, maxindices: 2, outputs: [2.2127522e-02 9.6792233e-01 4.6303258e-03 8.9524529e-04 2.6477827e-03
 7.3232292e-04 1.0444835e-03], MiddleTime: 79.26, subject:1
maxvalues: 0.9812783598899841, maxindices: 1, outputs: [9.8127836e-01 1.2750671e-02 7.5385487e-04 2.1566558e-03 3.1731260e-04
 1.7581709e-03 9.8491739e-04], MiddleTime: 90.66, subject:1
maxvalues: 0.9787953495979309, maxindices: 2, outputs: [1.0424534e-02 9.7879535e-01 5.6639924e-03 8.8199717e-04 2.4998500e-03
 1.0679375e-03 6.6631543e-04], MiddleTime: 102.26, subject:1
maxvalues: 0.9126632213592529, maxindices: 7, outputs: [3.4042429e-03 4.1046133e-04 2.9186646e-03 5.9576513e-04 1.9125278e-03
 7.8095190e-02 9.1266322e-01], MiddleTime: 105.86, subject:1
maxvalues: 0.9033737182617188, maxindices: 2, outputs: [0.00761574 0.9033737  0.02917369 0.02081381 0.02666947 0.00923151
 0.00312209], MiddleTime: 3.18, subject:2
maxvalues: 0.9462858438491821, maxindices: 1, outputs: [0.94628584 0.03808348 0.0025023  0.00260253 0.00108035 0.00688122
 0.00256432], MiddleTime: 4.98, subject:2
maxvalues: 0.8936359286308289, maxindices: 2, outputs: [0.07071025 0.8936359  0.01103131 0.01495153 0.0046665  0.00368124
 0.00132321], MiddleTime: 16.18, subject:2
maxvalues: 0.849196195602417, maxindices: 2, outputs: [0.02647333 0.8491962  0.04596319 0.00903322 0.02461071 0.03299388
 0.0117295 ], MiddleTime: 19.78, subject:2
maxvalues: 0.9707129597663879, maxindices: 4, outputs: [6.5144664e-03 1.6997462e-04 9.8252250e-04 9.7071296e-01 2.0192659e-02
 1.0709401e-03 3.5643179e-04], MiddleTime: 32.18, subject:2
maxvalues: 0.955577552318573, maxindices: 2, outputs: [0.01897188 0.95557755 0.00700005 0.00852316 0.00544466 0.00293881
 0.00154389], MiddleTime: 42.58, subject:2
maxvalues: 0.9174026846885681, maxindices: 1, outputs: [0.9174027  0.06002122 0.00194644 0.00132247 0.0023037  0.00852336
 0.00848011], MiddleTime: 56.38, subject:2
maxvalues: 0.8887338042259216, maxindices: 3, outputs: [0.00235465 0.01095457 0.8887338  0.00678933 0.0105953  0.05908224
 0.02149011], MiddleTime: 58.78, subject:2
maxvalues: 0.9598433971405029, maxindices: 4, outputs: [7.8765182e-03 2.7296858e-04 2.8244042e-04 9.5984340e-01 3.0927204e-02
 4.3268004e-04 3.6483991e-04], MiddleTime: 66.78, subject:2
maxvalues: 0.9808110594749451, maxindices: 2, outputs: [1.5527418e-02 9.8081106e-01 8.1023778e-04 2.6862626e-04 2.0312413e-03
 2.0748761e-04 3.4397261e-04], MiddleTime: 71.98, subject:2
maxvalues: 0.8380441069602966, maxindices: 1, outputs: [0.8380441  0.11070251 0.00332754 0.02593435 0.00306539 0.01494896
 0.00397718], MiddleTime: 73.58, subject:2
maxvalues: 0.8881847262382507, maxindices: 2, outputs: [0.00876981 0.8881847  0.02748474 0.02075021 0.04082355 0.00963886
 0.00434805], MiddleTime: 90.58, subject:2
maxvalues: 0.938102662563324, maxindices: 4, outputs: [1.3028836e-02 1.2917770e-03 4.0505163e-04 9.3810266e-01 4.5738112e-02
 6.9955317e-04 7.3389144e-04], MiddleTime: 103.98, subject:2
maxvalues: 0.9039521217346191, maxindices: 2, outputs: [0.06253291 0.9039521  0.00872837 0.0126951  0.00775493 0.0026836
 0.00165286], MiddleTime: 107.58, subject:2
maxvalues: 0.9587942361831665, maxindices: 2, outputs: [0.02888008 0.95879424 0.00205008 0.0011735  0.00640693 0.00135198
 0.00134312], MiddleTime: 114.38, subject:2
maxvalues: 0.8412317037582397, maxindices: 1, outputs: [0.8412317  0.03045233 0.04246697 0.0138612  0.00273316 0.06210442
 0.00715022], MiddleTime: 22.96, subject:3
maxvalues: 0.9348090291023254, maxindices: 1, outputs: [0.934809   0.03057198 0.00753223 0.00775529 0.00166264 0.01375896
 0.00390987], MiddleTime: 59.56, subject:3
maxvalues: 0.8469652533531189, maxindices: 4, outputs: [2.9802953e-03 1.9309866e-03 1.8338545e-03 8.4696525e-01 1.4465676e-01
 8.6502143e-04 7.6782389e-04], MiddleTime: 97.76, subject:3
